name,brand,link,rating,votes,genre
Eros  Eau de Toilette,Versace,https://www.parfumo.com/Perfumes/Versace/Eros_Eau_de_Toilette,7.5,4617,Men
Fahrenheit  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/Fahrenheit_Eau_de_Toilette,7.9,3010,Men
Club de Nuit Intense Man  Eau de Toilette,Armaf,https://www.parfumo.com/Perfumes/Armaf/club-de-nuit-intense-man-eau-de-toilette,7.5,4046,Men
Percival,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Percival,7.9,2690,Men
Club Black  Eau de Toilette,Mercedes-Benz,https://www.parfumo.com/Perfumes/Mercedes_Benz/club-black-eau-de-toilette,8.2,2012,Men
Gentleman Givenchy Réserve Privée,Givenchy,https://www.parfumo.com/Perfumes/Givenchy/gentleman-givenchy-reserve-privee,8.3,1926,Men
Y  Eau de Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Y_Eau_de_Parfum,7.5,4018,Men
Sauvage  Eau de Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/Sauvage_Eau_de_Parfum,7.8,3134,Men
L'Instant de Guerlain pour Homme  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_de_Guerlain_pour_Homme_Eau_de_Parfum,8.3,1814,Men
Emporio Armani - Stronger With You Absolutely,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-absolutely,8.2,1880,Men
Haltane,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/haltane,8.3,1861,Men
Boss Bottled Absolu,Hugo Boss,https://www.parfumo.com/Perfumes/Hugo_Boss/boss-bottled-absolu,8.4,1598,Men
Richwood,Xerjoff,https://www.parfumo.com/Perfumes/Xerjoff/richwood,8.4,1546,Men
Acqua di Giò pour Homme  Eau de Toilette,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_pour_Homme_Eau_de_Toilette,7.8,2808,Men
Allure Homme Sport  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Eau_de_Toilette,7.9,2402,Men
Égoïste  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Egoiste_Eau_de_Toilette,8.1,1990,Men
Boss Bottled  Eau de Toilette,Hugo Boss,https://www.parfumo.com/Perfumes/Hugo_Boss/Boss_Bottled_Eau_de_Toilette,7.4,3817,Men
Eros Flame,Versace,https://www.parfumo.com/Perfumes/Versace/Eros_Flame,7.7,2711,Men
The Most Wanted Parfum,Azzaro,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-parfum,8.3,1578,Men
Terre d'Hermès Eau Givrée,Hermès,https://www.parfumo.com/Perfumes/Hermes/terre-d-hermes-eau-givree,8.3,1557,Men
Platinum Égoïste  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Platinum_Egoiste_Eau_de_Toilette,8.1,1828,Men
Bleu de Chanel  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel,7.7,2740,Men
Enigma pour Homme  Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/Enigma_pour_Homme_Creation_E_pour_Homme_Parfum,8.7,1102,Men
Acqua di Giò Parfum,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/acqua-di-gio-parfum,8.3,1581,Men
Beau de Jour  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/beau-de-jour-eau-de-parfum,8.2,1698,Men
Moustache  Eau de Parfum,Rochas,https://www.parfumo.com/Perfumes/Rochas/Moustache_Eau_de_Parfum,8.1,1871,Men
9pm,Afnan Perfumes,https://www.parfumo.com/Perfumes/Afnan_Perfumes/9pm,7.9,2243,Men
L'Immensité,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/L_Immensite,8.1,1826,Men
Light Blue pour Homme Eau Intense,Dolce & Gabbana,https://www.parfumo.com/Perfumes/Dolce_Gabbana/Light_Blue_pour_Homme_Eau_Intense,7.6,2807,Men
Oud Save the King  Eau de Parfum,Atkinsons,https://www.parfumo.com/Perfumes/Atkinsons/oud-save-the-king-eau-de-parfum,8.3,1511,Men
Le Beau Le Parfum,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-beau-le-parfum,8.0,1954,Men
masculin Pluriel,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/masculin-pluriel,8.2,1646,Men
Gentleman Givenchy  Eau de Parfum,Givenchy,https://www.parfumo.com/Perfumes/Givenchy/Gentleman_Givenchy_Eau_de_Parfum,8.0,1814,Men
Dior Homme Cologne (2013),Dior,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Cologne_2013,8.2,1500,Men
Cool Water  Eau de Toilette,Davidoff,https://www.parfumo.com/Perfumes/Davidoff/Cool_Water_Eau_de_Toilette,7.2,3931,Men
A*Men Pure Havane,Mugler,https://www.parfumo.com/Perfumes/mugler/AMen_Pure_Havane,8.3,1429,Men
Pardon  Extrait de Parfum,Nasomatto,https://www.parfumo.com/Perfumes/Nasomatto/Pardon,8.2,1453,Men
Interlude Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Interlude_Man,7.8,2096,Men
Spicebomb,Viktor & Rolf,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb,7.8,2146,Men
Bentley for Men Intense,Bentley,https://www.parfumo.com/Perfumes/Bentley/Bentley_for_Men_Intense,7.6,2554,Men
Antaeus  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Antaeus_Eau_de_Toilette,8.1,1561,Men
Sun Men  Eau de Toilette,Jil Sander,https://www.parfumo.com/Perfumes/Jil_Sander/Sun_Men_Eau_de_Toilette,7.5,2711,Men
Missoni Wave,Missoni,https://www.parfumo.com/Perfumes/Missoni/missoni-wave,8.0,1735,Men
Oud for Glory,Lattafa,https://www.parfumo.com/Perfumes/Lattafa/oud-for-glory,7.6,2555,Men
Versace pour Homme  Eau de Toilette,Versace,https://www.parfumo.com/Perfumes/Versace/Versace_pour_Homme,7.7,2096,Men
L'Homme  Eau de Toilette,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/l-homme-eau-de-toilette,8.0,1551,Men
Amyris Homme  Extrait de Parfum,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/amyris-homme-extrait-de-parfum,8.4,1168,Men
Club de Nuit Intense Man Limited Edition,Armaf,https://www.parfumo.com/Perfumes/Armaf/club-de-nuit-intense-man-limited-edition,8.2,1324,Men
Asad,Lattafa,https://www.parfumo.com/Perfumes/Lattafa/asad-1,7.7,2188,Men
The Tragedy of Lord George,Penhaligon's,https://www.parfumo.com/Perfumes/Penhaligons/the-tragedy-of-lord-george,8.1,1459,Men
Epic Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Epic_Man,8.0,1505,Men
Eau Sauvage  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/Eau_Sauvage_Eau_de_Toilette,8.2,1345,Men
Intoxicated,Kilian,https://www.parfumo.com/Perfumes/Kilian/Intoxicated,8.1,1377,Men
The Dreamer  Eau de Toilette,Versace,https://www.parfumo.com/Perfumes/Versace/The_Dreamer_Eau_de_Toilette,7.6,2117,Men
L'Eau d'Issey pour Homme  Eau de Toilette,Issey Miyake,https://www.parfumo.com/Perfumes/Issey_Miyake/L_Eau_d_Issey_pour_Homme_Eau_de_Toilette,7.7,2096,Men
1888,Casamorati,https://www.parfumo.com/Perfumes/casamorati/1888,8.2,1294,Men
Sunshine Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Sunshine_Man,8.0,1527,Men
Hawas for Him,Rasasi,https://www.parfumo.com/Perfumes/Rasasi/Hawas_for_Men,7.7,1936,Men
Ambassador for Men,Gisada,https://www.parfumo.com/Perfumes/Gisada/ambassador-for-men,7.5,2300,Men
Valentino Uomo Intense,Valentino,https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-intense,8.6,898,Men
Viking,Creed,https://www.parfumo.com/Perfumes/Creed/Viking,7.8,1778,Men
Bvlgari Man In Black,Bvlgari,https://www.parfumo.com/Perfumes/Bvlgari/Bvlgari_Man_In_Black,7.9,1544,Men
Marwa,Arabiyat Prestige,https://www.parfumo.com/Perfumes/arabiyat-prestige/marwa,8.6,866,Men
Sculpture Homme  Eau de Toilette,Nikos,https://www.parfumo.com/Perfumes/Nikos/Sculpture_Homme_Eau_de_Toilette,7.6,2031,Men
Zino  Eau de Toilette,Davidoff,https://www.parfumo.com/Perfumes/Davidoff/Zino_Eau_de_Toilette,7.8,1746,Men
Eros  Eau de Parfum,Versace,https://www.parfumo.com/Perfumes/Versace/eros-eau-de-parfum,7.7,1768,Men
Mefisto,Casamorati,https://www.parfumo.com/Perfumes/casamorati/mefisto,7.9,1514,Men
Aqua de Dora,Pana Dora,https://www.parfumo.com/Perfumes/pana-dora/aqua-de-dora,8.3,1064,Men
Homme Anniversary,Xerjoff,https://www.parfumo.com/Perfumes/Xerjoff/homme-anniversary,8.7,783,Men
Dior Homme Sport (2021),Dior,https://www.parfumo.com/Perfumes/Dior/dior-homme-sport-2021,8.0,1312,Men
Nouveau Monde,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/Nouveau_Monde,8.1,1250,Men
Duro  Extrait de Parfum,Nasomatto,https://www.parfumo.com/Perfumes/Nasomatto/Duro,8.1,1262,Men
Dior Homme (2020)  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/dior-homme-2020-eau-de-toilette,7.8,1668,Men
L'Homme Idéal Extrême,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/l-homme-ideal-extreme,8.3,1068,Men
Luna Rossa Carbon  Eau de Toilette,Prada,https://www.parfumo.com/Perfumes/Prada/luna-rossa-carbon-eau-de-toilette,7.8,1575,Men
The One for Men  Eau de Toilette,Dolce & Gabbana,https://www.parfumo.com/Perfumes/Dolce_Gabbana/The_One_for_Men,7.9,1470,Men
Eau Sauvage Parfum (2017),Dior,https://www.parfumo.com/Perfumes/Dior/Eau_Sauvage_Parfum_2017,8.3,1054,Men
Guilty Elixir de Parfum pour Homme,Gucci,https://www.parfumo.com/Perfumes/Gucci/guilty-elixir-de-parfum-pour-homme,8.1,1160,Men
Supremacy Not Only Intense,Afnan Perfumes,https://www.parfumo.com/Perfumes/Afnan_Perfumes/supremacy-not-only-intense,8.1,1192,Men
Interlude Black Iris,Amouage,https://www.parfumo.com/Perfumes/Amouage/interlude-black-iris,8.2,1104,Men
Insurrection II Wild,Reyane Tradition,https://www.parfumo.com/Perfumes/Reyane_Tradition/Insurrection_II_Wild,8.2,1028,Men
Encre Noire à L'Extrême,Lalique,https://www.parfumo.com/Perfumes/Lalique/Encre_Noire__L_Extrme,7.9,1308,Men
